ADDRESS,BUILDING COMPANY NAME
1155 EAST 35TH ST, BROOKLYN, NY 11210,MIDWOOD 35TH REALTY LLC
311 CLARKSON AVE, BROOKLYN, NY 11226,EASTERN CLARKSON ESTATES LLC
424 HAWTHORNE ST, BROOKLYN, NY 11203,HOMEWOOD GARDEN ESTATES LLC
803 NOSTRAND AVE, BROOKLYN, NY 11225,EASTERN NOSTRAND ESTATES LLC
709 DEKALB AVE, BROOKLYN, NY 11216,DEKALB MARCY ESTATES LLC
864 NOSTRAND AVE, BROOKLYN, NY 11225,864 NOSTRAND ESTATES LLC
433 ROGERS AVE, BROOKLYN, NY 11225,LEFFERTS LINCOLN ESTATES LLC
661 BROOKLYN AVE, BROOKLYN, NY 11216,EASTERN HAWTHORNE REALTY LLC
305 CLARKSON AVE, BROOKLYN, NY 11226,WETERN CLARKSON ESTATES LLC
709 DEKALB AVE, BROOKLYN, NY 11216,DEKALB MARCY ESTATES
313 CLARKSON AVE, BROOKLYN, NY 11226,EASTERN CLARKSON ESTATES LLC
172 LEFFERTS PLACE, BROOKLYN, NY 11238,ZT 172 LEFFERTS PL LLC
244 NEW YORK AVE, BROOKLYN, NY 11216,ZT 244 NEW YORK LLC
267 CLIFTON PLACE, BROOKLYN, NY 11216,ZT REALTY PROP 1 LLC
276 THROOP AVE, BROOKLYN, NY 11206,ZT REALTY PROP 2 LLC
293 STUYVESANT AVE, BROOKLYN, NY 11233,ZT 293 STUYVESANT LLC
299 PUTNAM AVE, BROOKLYN, NY 11216,ZT 299-303 PUTNAM LLC
303 PUTNAM AVE, BROOKLYN, NY 11216,ZT 299-303 PUTNAM LLC
3 MACDONOUGH ST, BROOKLYN, NY 11216,ZT REALTY PROP 3 LLC
306 PROSPECT PLACE, BROOKLYN, NY 11238,ZT 306 PROSPECT LLC
403 MACON ST, BROOKLYN, NY 11233,ZT 403 MACON LLC
5 MACDONOUGH ST, BROOKLYN, NY 11216,ZT 5 MACDONOUGH LLC
585 PARK PLACE, BROOKLYN, NY 11238,ZT 585 PARK PL LLC
874 BERGEN STREET, BROOKLYN, NY 11238,ZT 874 BERGEN LLC
942 BERGEN STREET, BROOKLYN, NY 11238,ZT 942 BERGEN LLC
95 KINGSTON AVE, BROOKLYN, NY 11222,ZT 95 KINGSTON LLC
1045 UNION STREET, BROOKLYN, NY 11225,1045 UNION ASSOCIATES LLC
1396 DEAN ST, BROOKLYN, NY 11216,ZT 1400 DEAN LLC
1398 DEAN ST, BROOKLYN, NY 11216,ZT 1400 DEAN LLC
1400 DEAN ST, BROOKLYN, NY 11216,ZT 1400 DEAN LLC
701 ST. MARKS AVE, BROOKLYN, NY 11216,ZT REALTY 40 CUMBERLAND, LLC
927 PUTNAM AVE, BROOKLYN, NY 11221,ZT 927-931 PUTNAM LLC
227 MALCOLM X BLVD, BROOKLYN, NY 11221,CHAUNCEY CAPITAL, LLC
759 MARCY AVE, BROOKLYN, NY 11216,759 MARCY ACQUISITIONS, LLC
381 BERRY ST, BROOKLYN, NY 11249,BROADWAY AND BERRY ASSOCIATES
300 SOUTH 3RD ST, BROOKLYN, NY 11211,300 SOUTH REALTY CORP.
1129 43RD STREET, BROOKLYN, NY 11219,43RD ESTATES LLC
1135 43RD STREET, BROOKLYN, NY 11219,43RD ESTATES LLC
1497 CARROLL ST, BROOKLYN, NY 11213,SCHAFMAN REALTY LLC
213 UNION AVENUE, BROOKLYN, NY 11211,213 UNION REALTY LLC
280 CROWN STREET, BROOKLYN, NY 11225,280 CROWN LLC
322 RODNEY STREET, BROOKLYN, NY 11211,322 RODNEY STREET LLC
134 BOERUM STREET, BROOKLYN, NY 11206,BITOCHEN REALTY CORP.
170 NEW YORK AVE, BROOKLYN, 11216,170 NY PROPERTIES LLC
77 DIVISION AVE, BROOKLYN, NY 11249,77 DIVISION AVE LLC
650 CROWN STREET, BROOKLYN, NY 11213,650 CROWN EQUITIES LLC
281-291 CROWN ST, BROOKLYN, NY 11225,281-291 CROWN LLC
947 MONTGOMERY ST, BROOKLYN, NY 11213,MONTGOMERY REALTY ASSOCIATES LLC
740 EMPIRE BLVD, BROOKLYN, NY 11213,740 ASSOCIATES L.P.
126 GRAHAM AVE, BROOKLYN, NY 11206,126-128 GRAHAM AVENUE LLC
228 S. 3RD ST, BROOKLYN, NY 11211,228 S. 3RD REALTY LLC
95 SEIGAL ST, BROOKLYN, NY 11206,95 SEIGEL LLC
100 EAST 21 ST, BROOKLYN, NY 11226,100 EAST 21ST EQUITIES LLC
68 ST. PAULS PL, BROOKLYN, NY 11226,68 S.P. REALTY LLC
85 CROOKE AVE, BROOKLYN, NY 11226,81-87 CROOKE AVE LLC
1245 OCEAN AVE, BROOKLYN, NY 11230,LNJ MAZEL REALTY LLC
81 CROOKE AVE, BROOKLYN, NY 11226,81-87 CROOKE AVE LLC
49 CLARKSON AVE, BROOKLY, NY 11226,ELUL EQUITIES LLC
701 AVENUE C, BROOKLYN, NY 11218,701 EQUITIES LLC
429 16TH ST, BROOKLYN, NY 11215,429 16TH ST LLC
2620 GLENWOOD RD, BROOKLYN, NY 11210,2620 GLENWOOD EQUITIES
300 LINDEN BLVD, BROOKLYN, NY 11226,LINDEN MARTENSE EQUITIES LLC
448 EAST 22 ST, BROOKLYN, NY 11226,EAST 22ND EQUITIES LLC
3213 SNYDER AVE, BROOKLYN, NY 11226,3213 SNYDER REALTY CORP.
846 PROEPCT PL, BROOKLYN, NY 11216,ZB PROSPECT REALTY LLC
236 IRVING AVE, BROOKLYN, NY 11237,236 IRVING AVENUE LLC
64 ST. NICHOLAS AVE, BROOKLYN, NY 11237,CENTRAL AVENUE PARTNERS, LLC
1822 GATES AVE, QUEENS, NY 11385,1822 GATES LLC
17-13 HARMAN ST,KAMM NYC LLC
55 CLIFTON PL,55-57 CLITON PL., LLC
989 LAFAYETTE AVE,MAZEL 989 LAFAYETTE AVE, LLC
914 JEFFERSON AVE,ERROL'S AUTO SHOP
1301 BUSHWICK AVE,TRADEMARK DEVELOPMENT GROUP INC., 1301 BUSHWICK AVE LLC
580 WILSON AVE,580 WILSON AVE LLC
220 HIMROD,220 HIMROD LLC
150 NEWELL,150 NEWEL ENTERPRISES LLC
113 STOCKHOLM ST,ETAN, LLC
117 MAUJER ST,MAUJER, LLC
539A MONROE,HPTL HOLDINGS REALTY LLC
1131 DECATUR,DECATUR GOLD, LLC
215 MOFFAT,GOLD MOFFAT LLC
205 MENAHAN ST,EMILIO PROPERTY, LLC
181 KNICKERBOCKER,EMILIO REALTY CORP.
970 MADISON ST,,970 MADISON, LLC
8-73 WYCKOFF,8-73 WYCKOFF AVE, LLC
72 BLEECKER,72 BLEECKER USA, LLC
431 MARION ST,BEYONE LIMITS, INC.
1018 PARK PLACE,1018 PARK PLACE, LLC
911 JEFFERSON AVE,BMW REALTY, LLC
100 STARR,STARR LOFTS LLC
736 DECATUR,NADINE BLACK
22 WEIRFIELD,22 WEIRFIELD LLC
80 LORRAINE,82-96 LORRAINE STREET, LLC
2525 BEVERLY,2525 REALTY ASSCIATES LLC
218 HIMROD,218 HIMROD LLC
251 CLIFTON PL,251 REALTY, LLC
1611 JEFFERSON AVE,1611JEFFERSON,LLC
253 WILSON,JIAN LIN
161 WILSON,WA2 GROUP, LLC
1254 BROADWAY,RSL HOLDINGS, LLC
1358 DEKALB,1358 DEKALB LLC
71 WILSON,71 WILSON AVE, LLC
194 RALPH AVE,RALPH & RALPH PROPERTIES, LLC
199 WEIRRFIELD,199 WEIRFIELD LLC
191 TROUTMAN,THE TROUTMAN RESIDENCE LLC
160 HAVEMEYER,HUDSON VIEW REALTY LLC
392 ST. MARK'S,392 ST. MARK'S LLC
1221 ATLANTIC,1221 ATLANTIC AVENUE LLC
188 S 3RD,188 SOUTH 3RD STREET LLC
461 PARK PLACE,461 PARK PLACE LLC
469 PARK PLACE,469 PARK LLC
247 TROUTMAN,247 TROUTMAN LLC
167 HARMAN,HARMAN TOWERS, LLC
613 WOODWARD AVENUE,613 WOODWARD LLC
949 METROPOLITAN AVENUE,METROPOLITAN TERRACE LLC
953 METROPOLITAN AVENUE,METROPOLITAN TERRACE LLC
955 METROPOLITAN AVENUE,METROPOLITAN TERRACE LLC
959 METROPOLITAN AVENUE,METROPOLITAN TERRACE LLC
907 BROADWAY AVE,BROADWAY TERRACE LLC
72-03 FOREST AVENUE,72-03 FOREST AVE LLC
743 ROGERS AVENUE,ROGERS TERRACE LLC
412 SUYDAM STREET,SURYRU LLC
459 BUSHWICK AVENUE,BUSHWICK TERRACE LLC
634 KOSCIUSZKO STREET,634 KOSCIUSZKO LLC
391 MEEKER AVENUE,MEEKER TERRACE LLC
765 MACDONOUGH STREET,MACDONOUGH MANAGEMENT LLC
415 SUYDAM STREET,415 SUYDAM LLC
414 SUYDAM STREET,285 HIMROD LLC
887 BEDFORD AVENUE,BROOKLYN 5 REALTY INC.
285 HIMROD STREET,285 HIMROD LLC
287 HARMAN STREET,SH HARMAN LLC
852 HART STREET,852 HART LLC
250 STOCKHOLM STREET,STOCKHOLM TERRACE LLC
204 STARR STREET,SSH REALTY MANAGEMENT LLC/CO SPENCER
865 GREENE AVENUE,GREENE TERRACE LLC
205 CENTRAL AVENUE,205 CENTRAL LLC
706 MYRTLE AVENUE,706 MYRTLE LLC
771 ST. JOHNS PLACE,771 ST. JOHNS PL LLC
1402 PUTNAM AVENUE,SPENCER PROPERTY MANAGEMENT LLC
1404 PUTNAM AVENUE,SPENCER PROPERTY MANAGEMENT LLC
1406 PUTNAM AVENUE,SPENCER PROPERTY MANAGEMENT LLC
1408 PUTNAM AVENUE,SPENCER PROPERTY MANAGEMENT LLC
1317 UNION STREET,SSHERMA LLC
1878 BLEECKER STREET,SURYRU LLC
218 BOERUM STREET,1046 REALTY LLC
172 SUYDAM STREET,SUYDAM TERRACE LLC
277 HALSEY STREET,SSHE REALTY MANAGEMENT LLC
125 EVERGREEN AVENUE,EVERGREEN TERRACE LLC
1319 BEDFORD AVENUE,BEDFORD AVENUE TERRACE LLC
137 ALBANY AVENUE,ALBANY TERRACE LLC
127 EVERGREEN AVENUE,EVERGREEN TERRACE LLC
788 PARK PLACE,788 PARK LLC
137 FROST STREET,FROST TERRACE LLC
153 BLEECKER STREET,BLEECKER & ATLANTIC LLC
1556 ATLANTIC AVE,BLEECKER & ATLANTIC LLC
578 BUSHWICK AVENUE,1046 REALTY LLC. C/O SPENCER PROPERTIES
645 WILLOUGHBY AVENUE,THROOP CORNERS LLC
194 SKILLMAN STREET,784 ST. JOHNS INC
940 KENT AVENUE,SSHERM LLC
1516-18 FULTON STREET,FULTON TERRACE GROUP LLC
418 MELROSE STREET,SSHE REALTY MANAGEMENT LLC
1323 HALSEY STREET,HALSEY TERRACE LLC
1217 HALSEY STREET,1217 HALSEY LLC
318 JEFFERSON ST,TOVI G LLC
559 ST. JOHNS PLACE,BEST OF CLINTON HILL CORP.
643 PROSPECT PLACE,643 PROSPECT PLACE REALTY LLC
1046 BERGEN STREET,KNG REALTY INC
254 MELROSE STREET,254 MELROSE LLC
262 JEFFERSON STREET,PROSPECT FALLS LLC
988 BERGEN STREET,BERGEN REALTY & MANAGEMENT LLC
967 BERGEN STREET,967 BERGEN REALTY LLC
170 SUYDAM ST,SSHER REALTY MANAGEMENT LLC
355 SOUTH 4TH ST,SCHIMILV LLC
559 SENECA AVE,SENECA TERRACE LLC
559 ST. JOHNS PL,CLINTON HILL CORP
1046 BERGEN,KNG REALTY INC.
967 BERGEN,967 BERGEN LLC
1054 BERGEN,BERGEN PLAZA LLC
988 BERGEN ST,BERGEN REALTY & MANAGEMENT LLC
578 BUSHWICK AVE,1046 REALTY LLC C/O SPENCER PROPERTY MANAGEMENT
93 HALSEY ST--492 NOSTRAND AVE,93 HALSEY LLC
852 HART,852 HART LLC / HIMROD LLC
93 KNICKERBOCKER AVE,1753 PROPERTIES CORP.
465 LAFAYETTE,465 LAFAYETTE LLC
666 PARK PL,PARK PLACE REALTY & MANAGEMENT INC.
763 PARK PL,763 PARK PLACE REALTY LLC
355 S. 4TH,SCHIMILIV LLC C/O SPENCER PROPERTY MANAGEMENT INC
1 SPENCER CT,1 SPENCER REALTY MANAGEMENT LLC
645 WILLOUGHBY,THROOP CORNER LLC C/O SPENCER PROPERTY MANAGEMENT
334 CENTRAL AVE,334 CENTRAL LLC
1116 BEDFORD AVE--160 QUINCY,CORPORATE EQUITY RESOURCES LLC
80 GRAHAM,MOORE PROPERTIES LLC
441 METROPOLITAN,441 METROPOLITAN ASSOC., LLC
828 HALSEY,HALSEY PALACE LLC
212 NORTH 4TH ST,291 METROPOLITAN REALTY, LLC
192 JEFFERSON,192 BSD REALTY LLC
163 TROUTMAN,163 TROUTMAN REALTY LLC
1418 PUTNAM,1418 PUTNAM AVENUE LLC
226 TROUTMAN,226 TROUTMAN LLC
871 HERKIMER,DARYL SMITH & JESUS RIVERA
1710 NEWKIRK,1710 LLC
132 CORNELIA ST,132 CORNELIA, LLC
369 WEIRFIELD ST,369 WEIRFIELD, LLC
871 HERKIMER,DARYL SMITH & JESUS RIVERA
115 LENOX RD,115 LENOX REALTY LLC
215 HIMROD,215 HOMROD, LLC
192 JEFFERSON,192 BSD REALTY LLC
143 NORTH 8TH,143 NORTH 8TH C3 REALTY INVESTORS, LLC
716 JEFFERSON AVE,716 JEFFERSON AVE LLC
419 CLASSON,LAVAN EQUITIES, LLC
132 HAVEYEMER,132 HAVEMEYER ST LLC
145 DRIGGS AVE,145 DRIGGS  LLC
80 LEXINGTON,76 LEXINGTON LLC
385 TROUTMAN ST,BUSHBERG PROPERTIES, LLC
180 BAINBRIDGE,BAINBRIDGE REALTY HOLDINGS, LLC
330 RODNEY ST,WYCKOFF, INC.
211 KNICKERBOCKER AVE,211 KNICKERBOCKER ASSOCIATES, LLC
215 KNICKERBOCKER AVE,215 KNICKERBOCKER, LLC
308 STUYVESANT AVE,QJMS LLC
212 GRAND,CARLILIS REALTY INC. 212
214 GRAND ST,CARLILIS REALTY INC. 214
687 DRIGGS AVE,GRAND LIVING, LLC
233 JEFFERSON,233 JEFFERSON STREET LLC
167 HARMAN,HARMAN TOWERS LLC
48 WILSON,48 WILSON, LLC
167 NORTH 6TH,DUFFIELD HOUSING REALTY, LLC
195 MENAHAN,JNE ENTERPRISES INC
255 HIMROD,FC 255 LLC
28 HERKIMER,CAROL GLASGOW
238 TROUTMAN,238 TROUTMAN, LLC
58-13 69 TH AVE,XAVIER GALAN
163 TROUTMAN,163 TROUTMAN REALTY LLC
1418 PUTNAM,1418 PUTNAM AVE LLC
165 CENTRAL,165 CENTRAL AVE REALTY, LLC
150 GROVE ST,GROVE PALACE, LLC
22 DODWORTH,DODWORTH ENTERPRISES, LLC
161 MESEROLE,161 MESEROLE, LLC
1420 PUTNAM,1420 PUTNAM AVE, LLC
1358 DEKALB AVE,1358 DEKALB, LLC
271 METROPOLITAN,271 METROPOLITAN, LLC
30 DRIGGS,30 DRIGGS LLC
247 TROUTMAN,247 TROUTMAN LLC
215 HIMROD ST,215 HIMROD, LLC
401 SUYDAM ST,401 SUYDAM STREET, LLC
916 MADISON,916 MADISON ST., LLC
170 KNICKEROCKER,1710 KNICKERBOCKER LLC
80 LEXINGTON,76 LEXINGTON LLC
274 JEFFERSON,274 JEFFERSON LLC
1361 GREENE,1361 GREENE LLC
239 TROUTMAN ST,239 TROUTMAN, LLC
1044 FLUSHING,1044 FLUSHING AVENUE, LLC
222 STANHOPE,222 STANHOPE II, LLC
24 JEFFERSON ST,LUIS DUMAGUALA
56 SOUTH 11TH ST,DOV L AND USA LLC
1635 PUTNAM AVE,ADAR HOLDINGS, LLC
1213 JEFFERSON,1213 JEFFESON LLC
1085 WILLOUGHBY,SKMF ENTERPRISE, LLC
1262 BROADWAY,1262 BROADWAY EQUITIES, LLC
128 JEFFERSON ST,SHEILA GORDON
570 JEFFERSON,QJMS LLC
147 HART,JOEL MEISELS
350 IRVING AVE,350 IRVING AVENUE, LLC
60 SOMERS ST,TISHREI 28, LLC
94 MALCOLM X BLVD,REALTY ENTERPRISES 1, LLC
168 COOPER ST,COOPER PALACE, LLC
279 MENAHAN,279 MENAHAN REALTY CORP
165 STANHOPE,165 STANHOPE ASSOCIATES, LLC
161 STOCKHOLM,IRVING STONE LLC
193 WILSON,IRVING STONE, LLC
840 HART ST,275 LINDEN REALTY CORP
189 STANHOPE,189 STANHOPE REALTY CORP.
1085 WILLOUGHBY,SKMF ENTERPRISE, LLC
109 SOUTH 3RD ST,NATZLIACH, LLC
129 SOUTH 2ND ST,NATZLIACH, LLC
74 S 4TH ST,BRIDGE TOWER, LLC
1014 PARK PL,1014 PARK PLACE, LLC
52A VERNON AVE,DEKALB REALTY, LLC
1104 BUSHWICK AVE,BUSHWICK PARTNERS, LLC
834 METROPOLITAN AVE,834 METROPOLITAN AVE, LLC
1098 BUSHWICK AVE,BUSHWICK PARTNERS LLC
387 FRANKLIN,MARCY PLAZA REALTY LLC
68 COVERT ST,MENAHEN CHUKROON
561 GATES AVE,555 & 51 GATES AVE LLC
249 VERNON AVE,RH VERNON LLC
555 GATES AVE,555 & 561 GATES AVE LLC
317 NOSTRAND AVE,RH NOSTRAND LLC
473 CENTRAL AVE,4021 REALTY
203 WILSON,203 QUICK SERVICE INC
25 MONTROSE AVE,21-25 MONTROSE AVENUE, LLC
175 TROUTMAN,GINA ORELLANA
59-25 GROVE ST,GROVE ENTERPRISES, LLC
285 CORNELIA ST,285 CORNELIA REALTY, LLC
838 JEFFERSON AVE,838 JEFFERSON REALTY, LLC
234 PULASKI ST,MOSES GRUNFELD
131 STARR ST,131 STARR, LLC
1482 DEKALB,1482 DEKALB AVE LLC
962 MYRTLE,962 MYRTLE LLC
352 MONROE,352 MONROE STREET DEVELOPMENT CORP
39 TROUTMAN,JEFFERSON TROUTMAN 2012 LLC
56 JEFFERSON,JEFFERSON TROUTMAN 2012 LLC
218 NEW YORK,LLC
481 SENECA AVE,481 SENECA AVE LLC
291 JEFFERSON ST,JEFFERSON PLAZA LLC
98 DIAMOND ST,BEREL LANDAU, LLC
182 SOUTH 3RD ST,STATES REALTY, LLC
146 EVERGREEN AVE,EVERGREEN RESIDENCE, LLC
64 STEUBEN ST,STEUBEN AND PARK, LLC
1438 GREENE AVE,GREENE MANOR, LLC
131 MENAHAN ST,MENAHAN LOFT, LLC
129 MENAHAN ST,MENAHAN LOFT, LLC (MENAHAN MANOR, LLC ON LEASES FOR TIME BEING)
9 CEDAR ST,SUANY RAMOS
570 MONROE ST,RHONDA DEGANNEN
1466 MYRTLE AVE,AVENUE L REALTY, LLC
208 HIMROD ST,208 HIMROD, LLC
223 KNICKERBOCKER,223 KNICKERBOCKER, LLC
1424 GREENE,SALAVATORE CIRAVINO
131 NORTH 4TH ST,ZOHN PROPERTIES LLC
397 GREENE,SYN PROPERTIES LLC
77 DRIGGS AVE,LUCKY CASHEW ASSOC., LLC
117 WILSON,117 WILSON, LLC
721 HART,721 HART LLC
150 WATERBURY,900 GRAND STREET MILK, LLC
584 MYRTLE AVE,1155 PLACE LLC C/O FOUNTAIN PEN EQUITIES LLC
305 ROEBLING,NIX B'WAY, LLC
134 KINGSLAND AVE,MYRTLE FISH LLC
105 WILSON AVE,243 WILSON  LLC
553 WILSON AVE,553 WILSON  LLC
656 MAPLE ST,656 MAPLE CORP.
291A MONROE,291A MONROE YMJ LLC
20 BULWER,BONIM PROPERTIES, LLC
267 VERNON,EMPIRE HOLDINGS I, LLC
202 SCHOLES ST,202 SCHOLES, LLC
262 CORNELIA ST,262 CORNELIA UNITS, LLC
369 SOUTH 4TH ST,SOUTHSIDE UNITS, LLC
246 UNION AVE,UNION AVE PLAZA, LLC
61 WILSON AVE,JOSE MUHAMMAD
51 IRVING PLACE,SIREN REALTY, LLC
1280 MYRTLE AVE,DEKALB & MYRLTE, LLC
1352 DEKALB,JAMO 2 REALTY, LLC
1367 DEKALB,JMZ 2 REALTY LLC
23 PARK ST,BAYIT 3 LTD
1369 DEKALB AVE,1369 DEKALB, LLC,
1356 DEKALB,JAMO 2 REALTY, LLC
684 CENTRAL,FOUR CORNERS CENTRAL, LLC
26 NOLL ST,YOLANDA CAPLA
99 MORGAN,99MA, LLC
697D EVERGREEN AVE,ROGELIO DIAZ
91 VARET ST,91 VARET STREET, LLC
63 TROUTMAN,NEW BUSHWICK 63, LLC
172 MESEROLE ST,168 MESEROLE, LLC
242 BAINBRIDGE ST,C & S REALTY DBA/BAINBRIDGE RESIDENCE LLC
108 COOPER ST,UNION HOUSING,LLC
19 FAYETTE,OBB 563 HOLDING CORP.
365 PALMETTO,96746 INC.
176 WILSON,HIGH QUALITY REALTY CORP
770 HART ST,770 HART DEVELOPMENT, LLC
136 WYCKOFF AVE,136 WYCKOFF ASSOCIATES, LLC
